ID,TITLE,LOCATION,SKILLS,DATE
52419112,"[집중채용] Software Engineer, Backend - 국내 숙소",경기 성남시 수정구,"백엔드/서버개발,S/W,MySQL,Node.js,판매",채용시
52421100,"[집중채용] Software Engineer, Backend - 레저개발",경기 성남시 수정구,"백엔드/서버개발,판매",채용시
52592739,"Software Engineer, Backend - Platform Engineering",경기 성남시 수정구,"백엔드/서버개발,S/W,Node.js,판매",채용시
52593009,"Software Engineer, Full Stack - 광고플랫폼",경기 성남시 수정구,"백엔드/서버개발,프론트엔드,S/W,풀스택,판매",채용시
52636629,국내 중견 식품 기업 -시니어 백엔드 개발자,서울 강남구,"백엔드/서버개발,헤드헌팅",~ 01/22(목)
52637934,"FE, React Native 하이브리드 앱 개발자",서울 영등포구,"Java,Javascript,iOS,프론트엔드,Flutter",~ 02/21(토)
52203242,[라온시큐어] 소프트웨어 엔지니어 (기술지원) 채용,서울 영등포구,"S/W,보안,백신,보안컨설팅,정보보안",~ 01/02(금)
52456116,(주)티모넷 Android 개발자 모집(경력),서울 마포구,"Javascript,RDBMS,JPA,Spring,SpringBoot",~ 01/01(목)
52495293,주식회사아이피미디어그룹 안드로이드 개발자 모집,서울 중구,"프론트엔드,소프트웨어개발",~ 01/04(일)
52408102,플랫폼 사업 CTO 채용공고,서울 강남구,"CTO,경제연구소,경영연구소",~ 12/26(금)
52408138,플랫폼 사업 프로젝트리더(PL),서울 강남구,"PL(프로젝트리더),경제연구소,경영연구소",~ 12/26(금)
52384557,[토스인슈어런스] Server Developer,서울 구로구,"Kotlin,Java,백엔드/서버개발,Nginx,Git",내일마감
52529595,[토스] Android Platform Engineer,서울 강남구,"Kotlin,Android,앱개발,인터넷금융",~ 01/09(금)
52229567,[토스페이먼츠] Site Reliability Engineer,서울 강남구,"백엔드/서버개발,트러블슈팅,DevOps,SRE,사이트신뢰성개발자",채용시
52486067,[아정당] 플랫폼 백엔드 개발자 (3년 이상~5년 이하),서울 강남구,"백엔드/서버개발,Javascript,RestAPI,SpringBoot,통신",~ 02/02(월)
52270594,"[티앤테크] 응용, 웹, 앱 소프트웨어 개발자 모집(신입/경력)",대구 수성구,"웹개발,SI·시스템통합",채용시
52448449,[깨봉수학] 백엔드 (Back-End) 개발,서울 강남구,"웹개발,컨텐츠제공,인터넷교육",~ 12/31(수)
52330051,풀스택 &amp; 증강현실 솔루션 개발 전문가 (3년 이상 경력) 채용합니다.,서울 영등포구,"웹개발,소프트웨어개발",채용시
52280262,[경력] 백엔드 개발자 채용(5년 이상),경기 용인시 수지구,"Java,백엔드/서버개발,Docker,JPA,Kubernetes",상시채용
52567914,Back-end Engineer(Core Banking),서울 서초구,"백엔드/서버개발,Python,RestAPI,SI·시스템통합",~ 01/13(화)
52383679,Runtime 소프트웨어 엔지니어 (경력),서울 강남구,"SE(시스템엔지니어),솔루션,S/W,SI·시스템통합",오늘마감
52443790,Backend 개발자,서울 강남구,"백엔드/서버개발,운송·운수",~ 01/05(월)
52553838,모바일 애플리케이션 개발(10~14년),경기 안양시,"Android,앱개발,iOS,자동차매장",~ 01/14(수)
52553848,모바일 애플리케이션 개발(15~20년),경기 안양시,"Android,앱개발,iOS,자동차매장",~ 01/14(수)
52388186,안드로이드 개발자 경력,서울 관악구,"앱개발,안드로이드",오늘마감
52417789,Npay커넥트 App 개발자 (안드로이드),경기 성남시 분당구,"Android,종합포털,컨텐츠제공",~ 12/26(금)
52419492,Npay커넥트 App 개발자 (안드로이드),경기 성남시 분당구,"Android,앱개발,종합포털,컨텐츠제공",~ 12/26(금)
52479025,뱅킹 아키텍트,경기 성남시 분당구,"Java,SE(시스템엔지니어),트러블슈팅,아키텍쳐,Kubernetes",~ 12/31(수)
52533069,[모두싸인] Data Engineer,서울 강남구,"데이터엔지니어,솔루션업체,소프트웨어개발",~ 01/09(금)
52562420,서비스 아키텍트,경기 성남시 분당구,"Java,트러블슈팅,아키텍쳐,SpringBoot,서비스기획",~ 12/31(수)
52300396,안드로이드 앱개발 경력,대전 유성구,"앱개발,소프트웨어개발",오늘마감
52405490,[SW팀] 크로스플랫폼 앱 개발자(Flutter),서울 강남구,"Flutter,크로스플랫폼,기계",~ 12/25(목)
52443690,Backend Engineer(5년 이상),서울 강남구,"백엔드/서버개발,AWS,Kubernetes,RestAPI,창고·보관",~ 12/30(화)
52495628,개발팀 매쓰플랫 백엔드 개발자 채용,서울 관악구,"백엔드/서버개발,소프트웨어개발",~ 01/03(토)
52495653,Tech Innovation 워킹그룹 풀스택 개발,서울 관악구,"웹개발,소프트웨어개발",~ 01/03(토)
52520267,FMS 솔루션 개발자,서울 송파구,"백엔드/서버개발,솔루션,통신",~ 01/08(목)
52572020,풀스택 고급 개발자,서울 강남구,"웹개발,풀스택",~ 01/13(화)
52589055,[티빙] MLOps Engineer 경력채용,서울 강남구,"머신러닝,배급유통사",~ 01/05(월)
47581906,백엔드 개발자 (Node.js),서울 강남구,"백엔드/서버개발,Node.js,소프트웨어개발",상시채용
52388937,디메타 Web Full Stack 개발자 경력직 채용,서울 강남구,"AI(인공지능),SI·시스템통합,소프트웨어개발",내일마감
52199921,SW개발팀 경력직,경기 광명시,"Android,임베디드,PCB,IC설계",채용시
52252156,[메가존 관계사] (주)소프트웨어인라이프 - 백엔드 개발자 모집,경기 과천시,"백엔드/서버개발,솔루션업체,ASP,소프트웨어개발",채용시
52417499,[STL] 스타트투데이 백엔드 개발자 채용,서울 강서구,"백엔드/서버개발,API,MySQL,해상운송,항공운송",~ 01/26(월)
52425732,[AI/솔루션] 웹 프론트엔드 개발자 (경력 1년~3년),경기 성남시 분당구,"프론트엔드,S/W,ReactJS,TypeScript,Vue.js",~ 12/31(수)
52426283,(주)메가웍스 경력(5년이상) 개발자 모집 (광주),광주 동구,"React,ReactJS,솔루션업체,소프트웨어개발",~ 01/27(화)
52491380,[NHN PAYCO] 페이코 AOS 앱 개발,서울 구로구,"앱개발,유지보수,금융기관",~ 01/04(일)
52553979,미라텍(주) AWS 클라우드 기반 백엔드 개발자 모집,경기 성남시 수정구,"백엔드/서버개발,AWS,클라우드,전자,Hardware",~ 01/11(일)
52628787,안드로이드 개발자 채용,경기 남양주시,"앱개발,소프트웨어개발",채용시
52307581,[hourplace] React Native 모바일앱 개발자,서울 강남구,"앱개발,웹개발,프론트엔드,React,React-Native",채용시
52552381,[다우키움 계열사] 백엔드 개발자 (경력),서울 성동구,"백엔드/서버개발,AWS,Docker,Kafka,Kubernetes",~ 01/11(일)
52589894,[여의도][중견 IT 기업] AOS개발자(6년이상),서울 영등포구,"백엔드/서버개발,SI개발,보안",~ 01/01(목)
52516188,소프트웨어 엔지니어 (SI/SM),서울 용산구,"백엔드/서버개발,프론트엔드,소프트웨어개발",채용시
52551569,"[유명 금융 IT 기업]백엔드 개발 Head (부총괄, 임원급)",서울 서초구,"백엔드/서버개발,CTO,개발PM,개발총괄,서치펌",~ 12/27(토)
52341107,[증권플러스비상장] 개발팀 시니어 백엔드 개발자,서울 서초구,"Java,JPA,Kafka,MongoDB,MySQL",~ 01/17(토)
52422537,백엔드(Back-End) 개발자(경력직),서울 강남구,"앱개발,백엔드/서버개발,인터넷금융",상시채용
52494997,프론트엔드 개발자(경력) 모집,서울 마포구,"앱개발,프론트엔드,소프트웨어개발",채용시
52530296,인공지능 의료 진단 솔루션 백엔드 개발자,서울 송파구,"백엔드/서버개발,솔루션업체,소프트웨어개발",~ 01/09(금)
